,matches,Chennai Super Kings_wins,Deccan Chargers_wins,Delhi Capitals_wins,Delhi Daredevils_wins,Gujarat Lions_wins,Gujarat Titans_wins,Kings XI Punjab_wins,Kochi Tuskers Kerala_wins,Kolkata Knight Riders_wins,Lucknow Super Giants_wins,Mumbai Indians_wins,Pune Warriors_wins,Punjab Kings_wins,Rajasthan Royals_wins,Rising Pune Supergiant_wins,Rising Pune Supergiants_wins,Royal Challengers Bangalore_wins,Royal Challengers Bengaluru_wins,Sunrisers Hyderabad_wins
Lucknow Super Giants vs Rajasthan Royals,6.0,,,,,,,,,,2.0,,,,4.0,,,,,
Lucknow Super Giants vs Rising Pune Supergiant,0.0,,,,,,,,,,0.0,,,,,0.0,,,,
Lucknow Super Giants vs Rising Pune Supergiants,0.0,,,,,,,,,,0.0,,,,,,0.0,,,
Lucknow Super Giants vs Royal Challengers Bangalore,4.0,,,,,,,,,,1.0,,,,,,,3.0,,
Lucknow Super Giants vs Royal Challengers Bengaluru,2.0,,,,,,,,,,1.0,,,,,,,,1.0,
Lucknow Super Giants vs Sunrisers Hyderabad,6.0,,,,,,,,,,4.0,,,,,,,,,2.0
Mumbai Indians vs Pune Warriors,6.0,,,,,,,,,,,5.0,1.0,,,,,,,
Mumbai Indians vs Punjab Kings,8.0,,,,,,,,,,,3.0,,5.0,,,,,,
Mumbai Indians vs Rajasthan Royals,30.0,,,,,,,,,,,16.0,,,14.0,,,,,
Mumbai Indians vs Rising Pune Supergiant,4.0,,,,,,,,,,,1.0,,,,3.0,,,,
Mumbai Indians vs Rising Pune Supergiants,2.0,,,,,,,,,,,1.0,,,,,1.0,,,
Mumbai Indians vs Royal Challengers Bangalore,31.0,,,,,,,,,,,18.0,,,,,,13.0,,
Mumbai Indians vs Royal Challengers Bengaluru,2.0,,,,,,,,,,,1.0,,,,,,,1.0,
Mumbai Indians vs Sunrisers Hyderabad,24.0,,,,,,,,,,,14.0,,,,,,,,10.0
Pune Warriors vs Punjab Kings,0.0,,,,,,,,,,,,0.0,0.0,,,,,,
Pune Warriors vs Rajasthan Royals,5.0,,,,,,,,,,,,1.0,,4.0,,,,,
