,last_5_avg,last_10_avg,overall_avg,form,trend
M Vijay,44.8,33.1,25.2,Excellent,Up
Mohammed Siraj,5.0,5.4,5.3,Average,Down
H Klaasen,41.0,39.4,33.3,Excellent,Up
JC Archer,9.2,6.8,8.3,Good,Up
BB Sran,1.8,1.5,1.5,Excellent,Up
PP Shaw,15.8,25.7,22.8,Poor,Down
Mustafizur Rahman,2.4,1.9,1.9,Excellent,Up
AD Hales,20.4,24.5,24.5,Average,Down
MK Lomror,10.4,12.5,15.0,Poor,Down
JP Duminy,17.4,20.9,26.5,Poor,Down
M Ashwin,2.4,3.3,2.9,Average,Down
MM Ali,17.6,15.0,19.7,Average,Up
M Prasidh Krishna,1.6,1.3,1.3,Excellent,Up
HV Patel,2.6,4.1,6.6,Poor,Down
Abhishek Sharma,39.8,40.8,25.0,Excellent,Down
SP Goswami,9.2,9.8,13.9,Poor,Down
Navdeep Saini,6.2,5.5,5.5,Good,Up
S Dube,21.8,28.1,24.6,Average,Down
SO Hetmyer,12.6,17.5,19.4,Poor,Down
JM Bairstow,26.6,32.4,32.0,Average,Down
CA Ingram,6.4,9.5,14.0,Poor,Down
KMA Paul,3.6,3.6,3.6,Average,Down
Rasikh Salam,7.0,6.7,6.7,Good,Up
N Pooran,28.4,31.8,27.0,Good,Down
Avesh Khan,6.2,5.3,5.2,Good,Up
GH Vihari,7.8,11.3,11.2,Poor,Down
SM Curran,22.4,24.6,18.6,Excellent,Down
AS Joseph,5.4,5.4,5.4,Average,Down
MJ Santner,1.8,4.3,5.7,Poor,Down
R Parag,31.6,31.8,21.9,Excellent,Down
LS Livingstone,6.6,11.8,22.3,Poor,Down
KK Ahmed,0.4,0.3,0.3,Excellent,Up
AJ Turner,4.8,4.0,4.0,Good,Up
Harpreet Brar,15.6,8.6,9.4,Excellent,Up
SE Rutherford,26.4,24.4,19.8,Excellent,Up
Gurkeerat Singh,22.6,13.7,16.3,Excellent,Up
P Simran Singh,18.2,30.3,24.3,Poor,Down
J Suchith,9.6,7.0,7.0,Excellent,Up
D Padikkal,33.6,24.7,23.9,Excellent,Up
RD Gaikwad,24.4,25.4,35.6,Poor,Down
YBK Jaiswal,40.6,47.4,32.4,Excellent,Down
TU Deshpande,1.4,3.5,3.5,Poor,Down
Abdul Samad,10.6,11.5,14.3,Poor,Down
JO Holder,7.6,5.2,9.6,Poor,Up
PK Garg,17.8,15.7,14.7,Excellent,Up
JR Philippe,15.6,15.6,15.6,Average,Down
Kartik Tyagi,2.2,2.2,2.2,Good,Up
CV Varun,0.8,2.5,2.4,Poor,Down
KL Nagarkoti,2.8,3.1,3.1,Average,Down
JDS Neesham,14.6,9.2,9.2,Excellent,Up
Ravi Bishnoi,3.4,3.1,2.8,Excellent,Up
Shahbaz Ahmed,7.6,16.8,14.3,Poor,Down
DW Steyn,4.4,4.8,5.1,Average,Down
N Jagadeesan,16.6,16.2,16.2,Good,Up
A Nortje,1.8,4.2,3.8,Poor,Down
MR Marsh,17.0,18.4,26.4,Poor,Down
Arshdeep Singh,2.0,2.9,2.4,Average,Down
DR Sams,3.4,3.8,3.4,Good,Down
KA Jamieson,4.4,7.2,7.2,Poor,Down
M Jansen,7.0,9.3,7.3,Average,Down
RM Patidar,16.8,15.1,29.2,Poor,Up
M Shahrukh Khan,20.2,17.3,15.2,Excellent,Up
Lalit Yadav,6.4,10.3,14.0,Poor,Down
C Sakariya,2.8,2.9,2.9,Average,Down
KS Bharat,18.6,24.8,24.8,Poor,Down
PWH de Silva,1.8,4.2,4.3,Poor,Down
VR Iyer,26.6,28.7,26.1,Good,Down
GD Phillips,7.8,8.1,8.1,Average,Down
AK Markram,33.0,39.5,26.1,Excellent,Down
